Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic,CO2cumul,ATPinit,ATP,Treatment
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,9,12.917012410537,166.527893422148,10.433011221347,112.985742122115,0.013635913198586,0.02175372654286,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0,12.917012410537,83.2639467110741,12.6911425639235,0,0.013635913198586,0.013674206560742,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.020833333333333,12.917012410537,83.2639467110741,,3.70181206382998,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.041666666666667,12.917012410537,83.2639467110741,,6.11603732284949,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.083333333333333,12.917012410537,83.2639467110741,,7.40362412765993,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.166666666666667,12.917012410537,83.2639467110741,,,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.25,12.917012410537,83.2639467110741,,,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.5,12.917012410537,83.2639467110741,,,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1,12.917012410537,83.2639467110741,17.167397259811,30.0973415624437,0.013635913198586,0.040181959948125,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1.5,12.917012410537,83.2639467110741,16.131056290448,36.8571722876984,0.013635913198586,0.035307350800003,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2,12.917012410537,83.2639467110741,15.0496547764741,39.9151909491231,0.013635913198586,0.034887617653377,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2.5,12.917012410537,83.2639467110741,20.9234050355451,41.8465711563388,0.013635913198586,0.030323541814189,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,3,12.917012410537,83.2639467110741,26.7522494200669,43.1341579611492,0.013635913198586,0.032286274634608,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,4,12.917012410537,83.2639467110741,,46.3531249731753,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,5,12.917012410537,83.2639467110741,17.8196924662375,48.9282985827961,0.013635913198586,0.019624941322492,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,6,12.917012410537,83.2639467110741,,50.3768337382078,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,7,12.917012410537,83.2639467110741,13.9906804214312,52.1472655948222,0.013635913198586,0.01773751461965,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,8,12.917012410537,83.2639467110741,,53.5958007502339,0.013635913198586,,LowG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,9,12.917012410537,83.2639467110741,10.2071929314206,54.8833875550443,0.013635913198586,0.018543206536873,LowG
